protein_name	r2_male	rmse_male	mae_male	r2_female	rmse_female	mae_female	r2_all	rmse_all	mae_all
EPHA10	-3.14349065589363	19.7160158517715	15.3917016064703	-21.9684486098939	21.794728776141	16.5389360954791	-10.1459599966802	21.1211229686328	16.7481282139109
EPHA2	-0.45911165329834	16.3160270152514	12.0860908141269	-1.15380879474534	18.3287959940929	13.1966938270682	-0.82742312542148	17.5373656093782	12.8951742134896
EPHA3	-11.4668699059049	21.2174077123651	17.2531012511371	-9.81093384007851	20.7679470241079	16.3308170757213	-9.65955948651023	21.0075311175037	16.8370659505181
EPHA5	-25.2129155382484	22.3761787385112	17.7152144715398	-41.3283641321202	22.0169717001393	17.197364305979	-66.9456408543514	22.1855587649041	17.6122497701694
EPHB2	-1.14258483946684	17.9104068290134	14.273663327748	-3.29184436289298	20.2354424812687	15.2294509028069	-1.84480524029179	19.5458833034673	15.1817813762634
EPHB4	-21.2131375201101	21.4143452130523	17.3629780334792	-8.45220793927195	20.8427825877917	16.4571010910707	-53.0068682216567	21.7875617638539	17.6309260202584
EPHB6	-0.890523216060889	17.8248754766884	14.0190567502631	-6.6215231675841	21.6213654494207	16.1606174558374	-2.99502536075924	20.1700225062807	15.219940015493
EPO	-14.4151786675333	21.5690533573363	17.0275143437826	-21.3106997770217	21.5038808947458	16.7195891329658	-18.0674548948834	21.7510418960052	17.1050727897398
EPOR	-18.0331505303671	21.328879902708	17.5486300506173	-3.74196624732802	19.9785295937246	15.6851523057924	-6.30167161429649	20.7945676595019	17.0764619608502
EPS15L1	-5.76866038246392	20.5019337955255	16.0404439593657	-36.8764288872495	22.2831016232632	17.1242460026284	-12.5400636685188	21.6773213896828	16.9525548120627
ERAP1	-23.856630931728	22.0209898349615	17.8337080912998	-20.690323458993	21.7059430662692	16.7761349504464	-22.7475183222478	21.9115374898371	17.4959616020659
ERBB2	-13.1966005558879	21.1740155820923	17.202920868414	-53.1401966838101	22.0534064251433	17.1193423555672	-43.5618200121969	21.806224424125	17.5522124411787
ERBB3	-5.35078375811026	19.9973763214632	15.5077934404921	-2.14188852726832	19.8280942302237	14.3158827421404	-3.42389927863001	20.295117165597	15.3603303044052
ERBB4	-4.54435345491994	20.4597215802475	15.9507479459051	-4.32474577040462	20.9559356939646	15.604789702079	-6.63553317601413	21.0452101763425	16.3816738193953
EREG	-6.6803154882409	20.8768260325961	16.3888714211182	-12.4657960746786	21.3314966390912	16.6753298192655	-10.3985657014995	21.1861998546372	16.7863073215268
ERP29	-2.65808115570636	19.6694349505208	15.0532526432859	-1.85470148957767	19.4904589538761	14.5866308595595	-2.80654471563408	19.9433792637787	15.3999124193302
ESAM	-0.837647878653292	18.3814375906672	14.5608268235479	-0.385610804688747	16.7100979038863	12.328747984705	-0.847389048634247	18.2561787863065	14.0915041157194
ESD	-6.31123887004452	20.3422742136763	15.8847567025015	-18.5423920654439	22.0943351159647	16.7330687938122	-8.44653249877432	21.4956583726183	16.4342766557595
ESM1	-1.75732981620707	19.1413864003809	14.5718914241898	-4.31138942939941	21.0880655527172	15.4712064549875	-2.85889453223463	20.1156129435896	15.2197621544631
ESR1	-21.7134311320664	21.5293080218669	17.5545826232569	-3.16796761038222	18.7651068664571	15.0028795207996	-5.47653092385403	20.0978546667465	16.2761131212696
ETHE1	-3.33667037081396	20.3403650763668	16.0416813240342	-9.41157335545661	20.7532670473415	16.2007437963836	-4.66688609471095	20.3773744258741	16.155930331995
F10	-0.0900997038350577	16.2563076168943	12.201816048609	-1.5796899005702	18.6533825213268	13.4574346377648	-0.62273911354182	17.7974686829835	12.9999608465172
F10.1	-0.877178028207614	16.8424159767753	13.4117591328648	-1.83794407878914	18.68835613653	13.6812745853355	-1.2539889304862	17.8954198360393	13.6259988596852
F11	-23.3945420756074	22.3031751816852	17.3026388710225	-7.69429312023862	21.2338383076522	16.0671621878098	-12.7605003246061	21.9631220470729	17.0329984943405
F2	-1.46756683338518	19.2591616779319	15.4590723967542	-0.509077212108625	17.1279492392665	13.4754961209514	-1.16985286657535	18.4200677384615	14.8533891203368
F2.1	-0.912390564265162	18.5351787179069	14.4351714791697	-2.41389622176927	19.0226746867462	14.171996669938	-1.65740643611972	19.0041600032552	14.8356758193945
F3	-3.13633579372654	21.0961342792375	16.406993036892	-36.5976745699825	22.3955456083566	17.1258729435756	-19.3775281075782	21.6321362366612	17.1583018618633
F5	-23.832677370039	22.4260398649685	17.6157791960434	-45.0362398890142	21.9611036409957	17.1348560088313	-79.3830657706026	22.1682127588636	17.7387718845994
F7	-11.5546518988116	21.7275590491742	17.3822139257776	-13.9830642265192	21.3836150599365	16.8037533361488	-24.5241050224699	21.7900719310573	17.4791144714256
F9	-19.7364777663901	21.5775439316233	17.3038618289573	-1.80805332209619	19.6289027257214	13.8972919042264	-3.99131943652082	20.9996105297102	16.1397682770107
F9.1	-12.0595514813347	21.0776209462016	17.033969138382	-1.61244548822586	19.1688524162879	13.6659954127954	-3.54791711969441	20.4521830677463	15.8210654967194
FABP1	-52.5597155681959	22.2606755316402	17.8460091993311	-62.3460990781787	21.7737208332755	16.9477669833779	-58.2478196629762	22.2792883773472	17.5960702103351
FABP3	-0.923885091084348	18.4332383874755	13.6605589337557	-5.85560289099363	20.9294834623921	15.7779663355731	-2.59117422113482	19.9490293262493	15.4442725570863
FABP5	-6.30481605256159	20.3871959345486	16.1559664735873	-12.1204285479136	20.8785319686695	16.1032037376602	-7.39423881995571	20.6240754407898	16.1034739517837
FAM107A	-16.6183923163407	21.3075849555068	17.2870209220771	-5.99842104058361	20.6244518953261	16.1771839755218	-9.67254371669897	21.1174341233091	16.9353124283332
FAM107B	-3.52896489364199	20.0934969854617	16.3681431387263	-3.5629077848963	19.5888968192082	15.338647183527	-3.91729700311543	19.9472683422799	16.0902017900426
FAM3B	-9.03718864637626	20.7024439996673	16.8191356937407	-22.9866272028101	21.8719277408468	16.9707322886131	-34.6529245475132	21.6803647810664	17.3485389938765
FAM3D	-4.81873782122937	21.2595868378397	16.822038305794	-29.162499017902	22.1577477612831	16.8111716341072	-13.7919477645838	21.7126229521005	16.9909043856748
FAP	-3.82228455271704	20.3064570276403	16.2039739143777	-1.86190927468319	18.8354954429542	14.1215629554217	-2.47660899350268	19.6582656806728	15.3459322842142
FAS	-1.12252965991423	18.9859129219792	15.4669934944705	-3.04428053586972	19.7818379220139	15.7765404269719	-1.9468284603462	19.6495781177842	16.084097653335
FASLG	-6.81374512289096	19.9729049066937	16.6529690770123	-3.69118410510479	19.8696598640076	15.8471128307639	-4.13214074839504	20.0742912859039	16.3956372467244
FCAR	-7.6439648949719	20.9245368255653	16.4092557083774	-21.4071597230264	21.2334811309041	16.6453071519267	-12.0430291086038	21.1426841162842	16.8124413304787
FCER2	-9.50285264733279	22.1118464250316	16.7751256129592	-13.3262241017112	21.6898312097941	16.7738417810403	-19.744050699646	22.0511976115076	17.3061649682042
FCGR1A	-3.55599390321223	19.9173886144193	15.4725404432506	-5.07661896870437	20.2584594819229	15.9409957341477	-4.2236507682216	20.1494809467505	15.955017729085
FCGR2A	-17.4477426095585	21.5983818771882	17.2266590138914	-6.47121765392934	20.8088407556809	15.7997832570682	-7.30595917531666	20.9624731685063	16.6409421671962
FCGR2B	-6.88884397400225	21.6712512790778	16.7498118757349	-13.9198903803459	21.5517261419299	16.6883759287117	-7.29036536943014	21.4571496171297	16.7321225234685
FCGR3B	-4.09194905826419	20.8782078651311	16.6187358970771	-1.97220975446714	20.8511701502263	15.9416160648623	-2.71781693196588	20.8723777709447	16.3660287598164
FCN1	-24.2137533506264	22.0992333241927	17.6868845378275	-19.5458482625567	21.7595401148467	16.5622674325166	-24.1421435878777	21.9585811247156	17.1993055601657
FCN2	-27.7585038471692	22.0379759812505	17.2520957772239	-6.10789752432896	21.3969541164498	15.6390708391114	-9.84733024427469	21.9798209716224	16.7055759522527
FCN3	-1.52845744609592	19.4586964633827	14.6128906807128	-5.30180190612307	20.1507320707287	15.5799686092527	-3.26553361972666	19.8699604600301	15.2877823402487
FCRL3	-8.68369394676342	21.5481615144939	17.1650810988975	-12.7078642371008	21.1913655564057	16.4348930037191	-10.5309113050908	21.4873290601349	17.1309087242699
FER	-2.59868983551851	20.2967956121781	16.3502657461615	-24.3791252906713	22.1587016063203	16.9947204269247	-42.1606704055501	21.9175995434244	17.6534219563275
FETUB	-5.07174827552364	21.095753755714	16.1832345775755	-15.6709770898722	22.6192957869022	16.751389030477	-10.3434011798362	22.2211378406428	17.0998671101883
FGA.FGB.FGG	-7.4871722970092	21.4021122374736	16.5046846382399	-19.3535415224143	21.5692435102549	16.2960049943878	-18.4854666327296	21.9695426492386	16.8467057560359
FGA.FGB.FGG.1	-6.37917771747424	21.0606261025091	16.0955116666152	-8.45796637085856	21.610935776642	15.7128644116315	-11.4499647273925	21.7413874644802	16.7180670176451
FGF1	-29.5724795764055	21.8255257384267	17.4446087711191	-16.602983788111	21.2444104287123	16.8784065209633	-42.9575453254961	21.8660721584281	17.3972601954985
